,matricula,media,min,max,QuantDisciCursadas,quantAprovado,quantReprovado,carga_total,disciplina,situacao,carga_total_atual,QuantDisciAtual,AnosMatriculado,vezesReprovado
0,2009028457,3.95,0.0,6.1,4,2,2,210,ECT2411,REPROVADO,330,5,6,1
2,2009028457,3.95,0.0,6.1,4,2,2,210,ECT2304,REPROVADO,330,5,6,2
4,2009028457,3.95,0.0,6.1,4,2,2,210,ECT2303,REPROVADO,330,5,6,2
5,2009029488,4.033333333333332,0.0,7.2,6,3,3,360,ECT2412,APROVADO,480,8,6,1
6,2009029488,4.033333333333332,0.0,7.2,6,3,3,360,ECT2414,REPROVADO,480,8,6,1
13,2009029712,1.72,0.0,5.3,5,1,4,285,ECT2306,REPROVADO,465,9,6,1
14,2009029712,1.72,0.0,5.3,5,1,4,285,ECT2302,REPROVADO,465,9,6,2
15,2009029712,1.72,0.0,5.3,5,1,4,285,ECT2206,REPROVADO,465,9,6,1
16,2009029712,1.72,0.0,5.3,5,1,4,285,ECT2207,REPROVADO,465,9,6,1
17,2009029712,1.72,0.0,5.3,5,1,4,285,ECT2203,REPROVADO,465,9,6,2
18,2009029712,1.72,0.0,5.3,5,1,4,285,ECT2304,REPROVADO,465,9,6,1
21,2009029712,1.72,0.0,5.3,5,1,4,285,ECT2201,REPROVADO,465,9,6,2
22,2009029763,5.159999999999999,0.9,8.3,5,4,1,350,ECT2206,REPROVADO,300,6,6,1
23,2009029763,5.159999999999999,0.9,8.3,5,4,1,350,ECT2207,APROVADO,300,6,6,1
24,2009029763,5.159999999999999,0.9,8.3,5,4,1,350,ECT2304,REPROVADO,300,6,6,1
25,2009029763,5.159999999999999,0.9,8.3,5,4,1,350,ECT2307,APROVADO,300,6,6,1
26,2009029763,5.159999999999999,0.9,8.3,5,4,1,350,ECT2302,APROVADO,300,6,6,1
27,2009029763,5.159999999999999,0.9,8.3,5,4,1,350,ECT2412,REPROVADO,300,6,6,1
33,2009031440,2.033333333333333,0.0,5.8,3,1,2,180,ECT2401,REPROVADO,165,3,6,1
34,2009031440,2.033333333333333,0.0,5.8,3,1,2,180,ECT2305,REPROVADO,165,3,6,1
35,2009031440,2.033333333333333,0.0,5.8,3,1,2,180,ECT2402,REPROVADO,165,3,6,2
46,2009032209,4.720000000000001,1.7,7.2,5,2,3,290,ECT2401,APROVADO,275,4,6,1
48,2009032209,4.720000000000001,1.7,7.2,5,2,3,290,ECT2402,REPROVADO,275,4,6,1
62,2010034481,7.133333333333333,5.6,9.6,3,3,0,180,ECT2402,REPROVADO,690,12,5,1
63,2010034481,7.133333333333333,5.6,9.6,3,3,0,180,ECT2403,APROVADO,690,12,5,1
67,2010034481,7.133333333333333,5.6,9.6,3,3,0,180,ECT2207,APROVADO,690,12,5,1
84,2010035356,7.233333333333333,6.2,8.0,3,3,0,230,ECT2401,REPROVADO,285,5,5,1
85,2010035356,7.233333333333333,6.2,8.0,3,3,0,230,ECT2201,REPROVADO,285,5,5,1
86,2010035356,7.233333333333333,6.2,8.0,3,3,0,230,ECT2411,REPROVADO,285,5,5,1
87,2010035356,7.233333333333333,6.2,8.0,3,3,0,230,ECT2207,REPROVADO,285,5,5,1
88,2010035356,7.233333333333333,6.2,8.0,3,3,0,230,ECT2307,APROVADO,285,5,5,1
89,2010035577,4.78,2.1,7.3,5,3,2,300,ECT2401,APROVADO,315,5,5,1
90,2010035577,4.78,2.1,7.3,5,3,2,300,ECT2414,REPROVADO,315,5,5,1
91,2010035577,4.78,2.1,7.3,5,3,2,300,ECT2413,APROVADO,315,5,5,1
